	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV798	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Chalara	Chalara hyalocuspica	Species	Pathotroph
ASV800	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella Undetermined	Species	Saprotroph
ASV801	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Kamienskia	Kamienskia perpusilla	Species	Arbuscular Mycorrhizal
ASV802	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV803	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV804	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV805	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV806	Fungi	Ascomycota	Pezizomycetes	Pezizales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV807	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum dulcitum	Species	Saprotroph
ASV808	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium Undetermined	Species	Pathotroph
ASV809	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV810	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Leohumicola	Leohumicola Undetermined	Species	Saprotroph
ASV811	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Naucoria	Naucoria salicis	Species	Saprotroph
ASV812	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma aeria	Species	Saprotroph
ASV813	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV814	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV815	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia scutellata	Species	Saprotroph
ASV816	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Coriolaceae	Trametes	Trametes versicolor	Species	Pathotroph
ASV817	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV818	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma podzolica	Species	Saprotroph
ASV819	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV820	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV821	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV822	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	Species	Saprotroph
ASV823	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV824	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV825	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe curvipes	Species	NA
ASV826	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Monographella	Monographella nivalis	Species	Pathotroph
ASV827	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV828	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV829	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Pleurophoma	Pleurophoma Undetermined	Species	Pathotroph
ASV830	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia muriae	Species	Saprotroph
ASV831	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV832	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV834	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV835	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora Undetermined	Species	Arbuscular Mycorrhizal
ASV836	Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Eocronartiaceae	Eocronartium	Eocronartium Undetermined	Species	Pathotroph
ASV837	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Calyptella	Calyptella capula	Species	NA
ASV838	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV839	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
