	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV1766	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella Undetermined	Species	Saprotroph
ASV1768	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terricola	Species	Saprotroph
ASV1769	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1770	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1771	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV1772	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1773	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces Undetermined	Species	Pathotroph
ASV1774	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia Undetermined	Species	Arbuscular Mycorrhizal
ASV1775	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium Undetermined	Species	Saprotroph
ASV1776	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Geomyces	Geomyces Undetermined	Species	Saprotroph
ASV1777	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1779	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium Undetermined	Species	Saprotroph
ASV1780	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Naucoria	Naucoria salicis	Species	Saprotroph
ASV1783	Fungi	Basidiomycota	Agaricomycetes	Russulales	Auriscalpiaceae	Lentinellus	Lentinellus tridentinus	Species	Pathotroph
ASV1784	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1785	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	SaccharomycetalesfamIncertaesedis	Starmerella	Starmerella bombicola	Species	Saprotroph
ASV1786	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Leptodontidium	Leptodontidium boreale	Species	Saprotroph
ASV1787	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia Undetermined	Species	Saprotroph
ASV1788	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus Undetermined	Species	Arbuscular Mycorrhizal
ASV1789	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora tritici-repentis	Species	Pathotroph
ASV1790	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus claroideum	Species	Arbuscular Mycorrhizal
ASV1791	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV1795	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1796	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1797	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1798	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	Itersonilia perplexans	Species	Pathotroph
ASV1799	Fungi	Rozellomycota	RozellomycotinaclsIncertaesedis	GS07	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1800	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	Saprotroph
ASV1802	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Acidomelania	Acidomelania panicicola	Species	NA
ASV1803	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria mors-panacis	Species	Pathotroph
ASV1807	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta exitialis	Species	Pathotroph
ASV1808	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	Tubaria furfuracea	Species	Saprotroph
ASV1809	Fungi	Ascomycota	Sordariomycetes	Sordariales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1810	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV1812	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1813	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Ustilentyloma	Ustilentyloma graminis	Species	Pathotroph
ASV1814	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis Undetermined	Species	Arbuscular Mycorrhizal
ASV1815	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella Undetermined	Species	Saprotroph
ASV1816	Fungi	Basidiomycota	Cystobasidiomycetes	CystobasidiomycetesordIncertaesedis	Symmetrosporaceae	Symmetrospora	Symmetrospora coprosmae	Species	Saprotroph
ASV1817	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa	Species	NA
ASV1820	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1822	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV1823	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1825	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia hystrioides	Species	Pathotroph
ASV1826	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria	Neobulgaria Undetermined	Species	Saprotroph
ASV1827	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis Undetermined	Species	Pathotroph
ASV1828	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	Pathotroph
ASV1829	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma aeria	Species	Saprotroph
ASV1830	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1832	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa	Species	Saprotroph
ASV1833	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV1834	Fungi	Basidiomycota	Pucciniomycetes	Platygloeales	Eocronartiaceae	Eocronartium	Eocronartium Undetermined	Species	Pathotroph
ASV1835	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita Undetermined	Species	Saprotroph
ASV1838	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1840	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia fraserae	Species	Pathotroph
ASV1841	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	OrbilialesfamIncertaesedis	Vermispora	Vermispora fusarina	Species	NA
ASV1842	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita indica	Species	Saprotroph
ASV1844	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV1845	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV1846	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber taiwanensis	Species	NA
ASV1847	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus psittacinus	Species	NA
ASV1849	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV1850	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon crustosus	Species	NA
ASV1851	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1853	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis Undetermined	Species	Arbuscular Mycorrhizal
ASV1854	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1856	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1857	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypella	Eutypella quaternata	Species	Pathotroph
ASV1858	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora piceae	Species	Pathotroph
ASV1859	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1861	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1862	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1863	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium domesticum	Species	Pathotroph
ASV1864	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia bernensis	Species	Arbuscular Mycorrhizal
ASV1865	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma paraflava	Species	Saprotroph
ASV1866	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa Undetermined	Species	Saprotroph
ASV1867	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi	Species	Pathotroph
ASV1869	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Leohumicola	Leohumicola Undetermined	Species	Saprotroph
ASV1872	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Rickenellaceae	Rickenella	Rickenella fibula	Species	NA
ASV1873	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella Undetermined	Species	Saprotroph
ASV1874	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum geophilum	Species	NA
ASV1876	Fungi	Ascomycota	Lecanoromycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1877	Fungi	Ascomycota	Sordariomycetes	Sordariales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1878	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria podocarpi	Species	Pathotroph
ASV1879	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1880	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus irregularis	Species	Arbuscular Mycorrhizal
ASV1881	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	Saprotroph
ASV1882	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella Undetermined	Species	Saprotroph
ASV1883	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora proliferata	Species	Saprotroph
ASV1885	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1890	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1891	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Endogone	Endogone Undetermined	Species	Saprotroph
ASV1892	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1893	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus penicillioides	Species	Saprotroph
ASV1894	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1895	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Falciphora	Falciphora oryzae	Species	Pathotroph
ASV1897	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1898	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	Coniella fragariae	Species	Pathotroph
ASV1899	Fungi	Ascomycota	Dothideomycetes	Pleosporales	PleosporalesfamIncertaesedis	Massariosphaeria	Massariosphaeria Undetermined	Species	Saprotroph
ASV1900	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1901	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudaleuria	Pseudaleuria quinaultiana	Species	Saprotroph
ASV1903	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora Undetermined	Species	Arbuscular Mycorrhizal
ASV1905	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1906	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1907	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1908	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1909	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron Undetermined	Species	Saprotroph
ASV1910	Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Gloiothele	Gloiothele citrina	Species	NA
ASV1911	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1912	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Protrudomycetaceae	Protrudomyces	Protrudomyces lateralis	Species	NA
ASV1914	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1915	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	ErythrobasidialesfamIncertaesedis	Sakaguchia	Sakaguchia lamellibrachiae	Species	Saprotroph
ASV1917	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	Volutella Undetermined	Species	Pathotroph
ASV1918	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon asahii	Species	NA
ASV1919	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1920	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Rhexocercosporidium	Rhexocercosporidium panacis	Species	Pathotroph
ASV1922	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium inaequale	Species	Saprotroph
ASV1923	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	Cladorrhinum Undetermined	Species	Saprotroph
ASV1924	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1926	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia strelitziicola	Species	Pathotroph
ASV1927	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV1928	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1929	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Strobilurus	Strobilurus esculentus	Species	NA
ASV1930	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amniculicolaceae	Murispora	Murispora hawksworthii	Species	Saprotroph
ASV1931	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	Clonostachys rosea	Species	Saprotroph
ASV1932	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Scolecobasidium	Scolecobasidium Undetermined	Species	Saprotroph
ASV1933	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1934	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Tolypocladium	Tolypocladium Undetermined	Species	NA
ASV1935	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1936	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Ustilentyloma	Ustilentyloma graminis	Species	Pathotroph
ASV1938	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora Undetermined	Species	Saprotroph
ASV1939	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces Undetermined	Species	Pathotroph
ASV1940	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebia	Phlebia tremellosa	Species	Pathotroph
ASV1943	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1944	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium Undetermined	Species	Saprotroph
ASV1945	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV1946	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis mosseae	Species	Arbuscular Mycorrhizal
ASV1948	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arachnomycetaceae	Arachnomyces	Arachnomyces Undetermined	Species	Saprotroph
ASV1949	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber taiwanensis	Species	Saprotroph
ASV1951	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula	Typhula variabilis	Species	Saprotroph
ASV1954	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1955	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV1956	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Guehomyces	Guehomyces pullulans	Species	Saprotroph
ASV1957	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1958	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Septoriella	Septoriella hirta	Species	Pathotroph
ASV1959	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella indohii	Species	Saprotroph
ASV1960	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium marquandii	Species	NA
ASV1963	Fungi	Mucoromycota	Endogonomycetes	Endogonales	Endogonaceae	Endogone	Endogone Undetermined	Species	Saprotroph
ASV1965	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1966	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1967	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Botryobasidium subcoronatum	Species	Saprotroph
ASV1969	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV1970	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium anisopliae	Species	NA
ASV1971	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV1972	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia friedmannii	Species	Saprotroph
ASV1973	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys conoides	Species	NA
ASV1974	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV1975	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV1976	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Xanthoria	Xanthoria coomae	Species	NA
ASV1978	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora trappei	Species	Arbuscular Mycorrhizal
ASV1979	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Baeospora	Baeospora myosura	Species	NA
ASV1980	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	Ramicandelaber taiwanensis	Species	Saprotroph
ASV1981	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1983	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	Saprotroph
ASV1984	Fungi	Basidiomycota	Microbotryomycetes	MicrobotryomycetesordIncertaesedis	Chrysozymaceae	Yurkovia	Yurkovia mendeliana	Species	Saprotroph
ASV1985	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium glutinans	Species	Saprotroph
ASV1986	Fungi	Basidiomycota	Microbotryomycetes	MicrobotryomycetesordIncertaesedis	Chrysozymaceae	Undetermined	Undetermined Undetermined	Family	NA
ASV1987	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	Syncephalis Undetermined	Species	NA
ASV1988	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1989	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1990	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	Hypholoma fasciculare	Species	Saprotroph
ASV1991	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Resupinatus	Resupinatus Undetermined	Species	NA
ASV1992	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis geosporum	Species	Arbuscular Mycorrhizal
ASV1993	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1995	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV1997	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	Cladorrhinum foecundissimum	Species	Saprotroph
ASV1998	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV1999	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV2000	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV2002	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena pura	Species	NA
ASV2004	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV2005	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta Undetermined	Species	Pathotroph
ASV2007	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium albo-atrum	Species	Pathotroph
ASV2008	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Undetermined	Undetermined	Undetermined Undetermined	Order	Arbuscular Mycorrhizal
ASV2009	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV2012	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus arrhizus	Species	Saprotroph
ASV2013	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV2015	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	SaccharomycetalesfamIncertaesedis	Candida	Candida etchellsii	Species	Saprotroph
ASV2016	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV2017	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe Undetermined	Species	Saprotroph
ASV2018	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV2020	Fungi	Rozellomycota	RozellomycotinaclsIncertaesedis	GS05	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV2022	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis geosporum	Species	Arbuscular Mycorrhizal
ASV2024	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	ErythrobasidialesfamIncertaesedis	Sakaguchia	Sakaguchia lamellibrachiae	Species	Saprotroph
